fide_id,period,rating_type,tournament_name,event_location_fed,event_start_date,event_end_date,event_rc,event_ro,event_score,event_games,event_chg,event_k,event_k_chg,opponent_name,opponent_title,opponent_rating,rating_difference_over_400_flag,opponent_fed,score,n,chg,k,k_chg
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Kshitika, Tyagi",,1010.0,False,IND,1.0,1,0.1,29,2.9
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Dhruv, Gupta",,1191.0,False,IND,1.0,1,0.26,29,7.54
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Nikhil, Chopra",,1197.0,False,IND,1.0,1,0.27,29,7.83
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Vatsal, Makol",,1477.0,False,IND,0.5,1,0.14,29,4.06
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Rahul, Suri",,1185.0,False,IND,1.0,1,0.25,29,7.25
25977890,2024-01-01,0,Bijnor Open FIDE Rated Chess Tournament - UP Booster Series (Vol I),Bijnor IND,2023-11-30,2023-12-03,1255,1376,5.0,6,1.15,29,33.35,"Mohammad, Sameed",,1468.0,False,IND,0.5,1,0.13,29,3.77
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Chinmay, Kowshik",,1760.0,False,IND,0.0,1,-0.09,29,-2.61
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Agham, Surana",,1137.0,False,IND,1.0,1,0.2,29,5.8
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Haridev, S",,1722.0,False,IND,1.0,1,0.89,29,25.81
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Sagnik, Dutta",,1520.0,False,IND,0.0,1,-0.31,29,-8.99
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Pooru, Lakshith",,1141.0,False,IND,1.0,1,0.21,29,6.09
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Kandi, Santosh Sai Karthik",,1530.0,False,IND,0.5,1,0.21,29,6.09
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Shaurya, Chaudhary",,1505.0,False,IND,0.0,1,-0.33,29,-9.57
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Gautam, Chintala",,1182.0,False,IND,1.0,1,0.25,29,7.25
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Oishik, Mondal",,1628.0,False,IND,1.0,1,0.81,29,23.49
25977890,2024-01-01,0,36th National Under-13 Chess Championship-2023,Hyderabad IND,2023-12-04,2023-12-10,1464,1376,6.0,10,2.03,29,58.87,"Sree, Shaunak Chanda",,1517.0,False,IND,0.5,1,0.19,29,5.51
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Gaurav, Saini",,1187.0,False,IND,1.0,1,0.25,29,7.25
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Mehul, Paliwal",,1253.0,False,IND,0.0,1,-0.67,29,-19.43
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Krishav, Kavit Shah",,1159.0,False,IND,1.0,1,0.22,29,6.38
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Raghav, Badrinath",,1246.0,False,IND,0.0,1,-0.68,29,-19.72
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Kuldeep, Sahajlan",,1164.0,False,IND,1.0,1,0.23,29,6.67
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Yati, Agarwal",,1185.0,False,IND,1.0,1,0.25,29,7.25
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Murali, Mohan Y",,1200.0,False,IND,1.0,1,0.27,29,7.83
25977890,2024-01-01,0,Winter Cup Classical Below 1600 FIDE Rating Lakecity Open Chess Tournament 2023,Udaipur IND,2023-12-22,2023-12-24,1248,1376,5.5,8,0.14,29,4.06,"Bharat, Bhushan",,1587.0,False,IND,0.5,1,0.27,29,7.83
25977890,2024-02-01,0,2nd Matrix International Open FIDE Rating Chess Tournament,Delhi IND,2024-01-03,2024-01-07,1462,1472,5.5,8,1.17,40,46.8,"Kavyansh, Jain",,1125.0,False,IND,1.0,1,0.11,40,4.4
25977890,2024-02-01,0,2nd Matrix International Open FIDE Rating Chess Tournament,Delhi IND,2024-01-03,2024-01-07,1462,1472,5.5,8,1.17,40,46.8,"Anant, Singh Dagar",,1217.0,False,IND,1.0,1,0.19,40,7.6
